Date,Open,High,Low,Close,Adj Close,Volume
2016-03-01,41.325001,41.814999,41.165001,41.549999,37.739700,7941184
2016-03-02,41.794998,42.209999,41.064999,42.209999,38.339169,6446017
2016-03-03,42.240002,42.450001,41.660000,42.200001,38.330093,6110392
2016-03-04,42.360001,42.790001,41.889999,42.674999,38.761528,7174640
2016-03-07,42.520000,42.910000,41.814999,42.810001,38.884151,6405580
2016-03-08,42.259998,42.750000,41.779999,42.040001,38.184765,7885415
2016-03-09,41.924999,42.580002,41.730000,42.105000,38.243801,7128163
2016-03-10,42.099998,43.430000,40.805000,40.805000,37.063015,12703008
2016-03-11,41.794998,42.349998,41.349998,42.349998,38.466328,10218141
2016-03-14,42.025002,42.419998,41.770000,42.080002,38.221100,6555951
2016-03-15,41.660000,41.799999,41.185001,41.494999,37.689743,6729646
2016-03-16,41.564999,42.080002,41.360001,41.875000,38.034893,5752993
2016-03-17,42.490002,43.400002,42.040001,42.855000,38.925022,9403322
2016-03-18,43.105000,43.244999,42.549999,42.889999,38.956818,11702963
2016-03-21,42.000000,42.205002,41.310001,41.330002,38.081490,5152032
2016-03-22,41.380001,41.584999,40.634998,41.380001,38.127552,5638823
2016-03-23,41.490002,41.654999,40.520000,40.855000,37.643818,5811494
2016-03-24,40.400002,40.490002,39.509998,40.160000,37.003448,6160784
2016-03-29,40.160000,40.619999,39.834999,40.044998,36.897484,5169313
2016-03-30,40.220001,41.490002,40.220001,40.980000,37.758995,6504610
2016-03-31,40.599998,40.619999,39.939999,40.060001,36.911304,6614564
2016-04-01,39.590000,39.590000,38.200001,38.785000,35.736519,8853049
2016-04-04,38.560001,39.480000,38.435001,39.174999,36.095867,6325792
2016-04-05,38.490002,38.674999,38.064999,38.345001,35.331104,7590228
2016-04-06,38.605000,39.119999,38.334999,38.880001,35.824051,6521514
2016-04-07,39.084999,39.490002,38.384998,38.580002,35.547634,5976885
2016-04-08,38.764999,40.165001,38.764999,40.009998,36.865234,6753221
2016-04-11,39.959999,40.415001,39.500000,40.189999,37.031086,4454870
2016-04-12,40.494999,41.049999,40.099998,40.930000,37.712933,5746503
2016-04-13,41.439999,42.564999,41.400002,42.564999,39.219414,8969900
2016-04-14,42.299999,42.895000,41.955002,42.814999,39.449764,6720406
2016-04-15,42.680000,42.994999,42.130001,42.544998,39.200985,6622900
2016-04-18,40.955002,42.380001,40.549999,42.244999,38.924564,7097044
2016-04-19,42.520000,43.099998,42.095001,42.884998,39.514259,6246458
2016-04-20,42.634998,43.544998,42.310001,43.345001,39.938110,5244062
2016-04-21,43.610001,43.840000,43.145000,43.650002,40.219135,5844605
2016-04-22,43.669998,43.895000,43.049999,43.825001,40.380379,4654232
2016-04-25,43.794998,43.860001,43.244999,43.619999,40.191486,5093483
2016-04-26,43.950001,44.130001,43.509998,43.735001,40.297455,4694137
2016-04-27,44.220001,45.224998,44.209999,44.965000,41.430779,8166779
2016-04-28,44.525002,45.119999,44.360001,45.119999,41.573593,6092268
2016-04-29,44.650002,44.720001,43.930000,43.930000,40.477123,7227489
2016-05-02,44.139999,44.285000,43.680000,43.930000,40.477123,2819875
2016-05-03,43.939999,43.939999,42.715000,42.724998,39.366837,5492690
2016-05-04,42.500000,42.810001,41.935001,42.150002,38.837036,6062150
2016-05-05,42.209999,42.884998,42.099998,42.544998,39.200985,4052266
2016-05-06,42.209999,43.080002,41.720001,42.939999,39.564934,6416506
2016-05-09,42.665001,43.145000,41.900002,42.080002,38.772533,5631300
2016-05-10,42.299999,42.720001,42.035000,42.665001,39.311554,4936788
2016-05-11,42.709999,42.915001,42.070000,42.884998,39.514259,3968622
2016-05-12,42.805000,43.805000,42.540001,42.764999,39.403690,5180859
2016-05-13,42.325001,43.080002,42.150002,42.820000,39.454372,4576185
2016-05-16,42.525002,43.375000,42.465000,43.150002,39.758434,2557342
2016-05-17,43.299999,43.904999,42.610001,43.070000,39.684719,5592682
2016-05-18,42.869999,43.450001,42.685001,43.160000,39.767647,4584306
2016-05-19,42.875000,42.875000,41.845001,42.130001,38.818607,5964278
2016-05-20,42.700001,43.060001,42.590000,43.005001,39.624832,6867101
2016-05-23,42.794998,42.860001,42.244999,42.389999,39.058174,4669872
2016-05-24,42.404999,43.240002,42.285000,43.115002,39.726185,6153974
2016-05-25,43.500000,44.180000,43.410000,44.070000,40.606125,7290862
2016-05-26,44.505001,44.720001,43.985001,44.029999,40.569263,5747864
2016-05-27,43.830002,44.014999,43.650002,43.900002,40.449486,5157306
2016-05-30,43.910000,43.910000,43.544998,43.764999,40.325096,2528108
2016-05-31,43.779999,43.980000,43.430000,43.674999,40.242165,8275245
2016-06-01,43.580002,43.610001,42.755001,43.029999,39.647869,4853209
2016-06-02,43.000000,43.130001,42.095001,42.340000,39.012104,6012906
2016-06-03,42.799999,43.035000,42.005001,42.294998,38.970631,5500232
2016-06-06,41.724998,42.770000,41.724998,42.465000,39.699844,4560180
2016-06-07,42.735001,43.764999,42.720001,43.764999,40.915192,6664350
2016-06-08,43.560001,43.814999,43.320000,43.369999,40.545918,5554269
2016-06-09,43.139999,43.259998,42.400002,42.845001,40.055107,4510242
2016-06-10,42.700001,42.700001,41.785000,42.049999,39.311871,6059505
2016-06-13,41.395000,42.060001,41.395000,41.480000,38.778988,6296345
2016-06-14,40.889999,40.980000,40.025002,40.055000,37.446774,9787118
2016-06-15,40.575001,40.775002,40.049999,40.415001,37.783333,7358101
2016-06-16,40.195000,40.549999,39.834999,40.480000,37.844105,7377530
2016-06-17,40.895000,41.494999,40.805000,41.259998,38.573311,10274880
2016-06-20,42.139999,42.810001,42.029999,42.720001,39.938240,5755983
2016-06-21,42.685001,43.355000,42.415001,43.020000,40.218708,5801623
2016-06-22,43.169998,43.570000,42.939999,43.029999,40.228054,5124314
2016-06-23,43.279999,44.125000,43.095001,43.689999,40.845078,6442135
2016-06-24,39.355000,41.970001,39.025002,40.619999,37.974987,26767636
2016-06-27,40.290001,41.075001,40.080002,40.325001,37.699196,12179849
2016-06-28,41.305000,41.634998,40.654999,41.389999,38.694843,9343741
2016-06-29,41.919998,43.095001,41.884998,42.950001,40.153267,9423411
2016-06-30,42.680000,43.570000,42.544998,43.380001,40.555264,9212998
2016-07-01,43.389999,43.869999,43.185001,43.755001,40.905846,5473843
2016-07-04,43.910000,44.080002,43.294998,43.380001,40.555264,2780402
2016-07-05,42.904999,43.115002,42.145000,42.685001,39.905518,5242669
2016-07-06,42.220001,42.540001,41.509998,41.764999,39.045425,8129914
2016-07-07,42.060001,42.540001,41.970001,42.049999,39.311871,6266323
2016-07-08,41.994999,42.680000,41.459999,42.650002,39.872803,5753086
2016-07-11,43.020000,43.410000,42.654999,43.349998,40.527218,4800097
2016-07-12,43.474998,44.279999,43.400002,43.935001,41.074127,6094213
2016-07-13,43.700001,44.195000,43.430000,43.500000,40.667454,4821326
2016-07-14,43.990002,44.650002,43.820000,44.200001,41.321865,5698943
2016-07-15,43.820000,44.014999,43.404999,43.930000,41.069454,5358531
2016-07-18,43.985001,44.279999,43.180000,43.485001,40.653427,3421125
2016-07-19,43.365002,43.570000,43.014999,43.540001,40.704849,3671932
2016-07-20,43.785000,43.825001,42.924999,43.575001,40.737572,3547386
2016-07-21,43.500000,43.650002,42.764999,43.400002,40.573963,4095753
2016-07-22,43.215000,43.555000,42.855000,43.084999,40.279472,3172977
2016-07-25,43.200001,43.410000,41.980000,42.250000,39.498844,4793536
2016-07-26,42.110001,42.529999,41.525002,42.439999,39.676472,4223167
2016-07-27,42.880001,43.334999,42.505001,42.685001,39.905518,4814999
2016-07-28,43.119999,43.570000,42.485001,42.485001,39.718544,7321845
2016-07-29,42.654999,42.759998,42.240002,42.759998,39.975636,6467729
2016-08-01,43.584999,43.599998,42.095001,42.095001,39.353939,4830329
2016-08-02,41.840000,42.055000,41.189999,41.465000,38.764957,5217211
2016-08-03,41.520000,41.849998,40.965000,41.599998,38.891171,5164316
2016-08-04,42.205002,42.419998,41.900002,42.224998,39.475471,4703707
